Linha 1 ///Fibonacci de 1 = 1 |Fatorial de 2 = 2
Linha 2 ///Fibonacci de 3 = 3 |Fatorial de 4 = 24
Linha 3 ///Fibonacci de 5 = 8 |Fatorial de 6 = 720
Linha 4 ///Fibonacci de 7 = 21 |Fatorial de 8 = 40320
Linha 5 ///Fibonacci de 9 = 55 |Fatorial de 10 = 3628800
Linha 6 ///Fibonacci de 2 = 2 |Fatorial de 1 = 1
Linha 7 ///Fibonacci de 4 = 5 |Fatorial de 3 = 6
Linha 8 ///Fibonacci de 6 = 13 |Fatorial de 5 = 120
Linha 9 ///Fibonacci de 8 = 34 |Fatorial de 7 = 5040
Linha 10 ///Fibonacci de 10 = 89 |Fatorial de 9 = 362880
Linha 11 ///Fibonacci de 1 = 1 |Fatorial de 1 = 1
Linha 12 ///Fibonacci de 2 = 2 |Fatorial de 2 = 2
Linha 13 ///Fibonacci de 3 = 3 |Fatorial de 3 = 6
Linha 14 ///Fibonacci de 4 = 5 |Fatorial de 4 = 24
Linha 15 ///Fibonacci de 5 = 8 |Fatorial de 5 = 120
